Id	Tweets	Lang	Location
1225682367324409856	"RT @IndiaToday: From platter to polls, here's how Biryani made its space in #DelhiElections2020
#ITVideo
More videos: https://t.co/6y4CyQrm…"	en	
1225682325133914112	"RT @ChankyaBihar: @aajtak Hello Aaj Tak why did you delete this tweet about arrest of #ManishSisodia OSD?

Is this against your #DelhiElect…"	en	Malda,West Bengal
1225682307798818817	"RT @i4army: Kejriwal is the dirtiest animal on earth. He can kil* humanity for his greed. He is a brutal naxal working for Pakistan. 😡

#Ke…"	en	New Delhi
1225682176051560448	INC is able to even stand in #DelhiElections2020 just because of its candidates' goodwill.. not ideology, not manif… https://t.co/TBVqoPbjG1	en	Vantage Point
1225682159479836673	"From platter to polls, here's how Biryani made its space in #DelhiElections2020
#ITVideo
More videos:… https://t.co/H1RmRw7OJq"	en	India
1225682128907538433	"RT @kavita_krishnan: So @AmitShah says #DelhiElections2020 results will ""shock"" ppl. Why? If BJP is confident everyone is supporting them,…"	en	India
1225682127259226116	Kejriwal is the dirtiest animal on earth. He can kil* humanity for his greed. He is a brutal naxal working for Paki… https://t.co/8hBpc9VpQo	en	New Delhi
1225682091209195520	"Fundamental rights nahi duties bhi di gayi h! 🔥 Use the
#IncredibleIndia #DelhiElections2020 https://t.co/BkIeXZW7Qd"	en	Bhopal, India
1225682067733659648	"RT @desimojito: My prediction 
BJP : 39-42
AAP : 27-30
Cong : 0-2 

#DelhiElections2020 🥰"	en	New Delhi, India
1225682057583460354	Shaheen Bagh protestors will disappear after the Delhi Elections are over just as the Aarey Forest protestors disap… https://t.co/f2nm5jri0Q	en	Brahmapur, Odisha, India
1225682018177929216	"RT @RightistSingh: Q. If AAP wins #DelhiElections2020 celebrations will be in.....?

Delhi = Like 
Pakistan= RT

🇮🇳Vs🇵🇰 8th Feb"	en	Planet Earth
1225682014868606976	"Kids celebrate Rose day
Ultra Legend vote for BJP
#DelhiElections2020 
#DelhiWithBJP 
#DelhiWithModi https://t.co/jaYwqy60N7"	en	Samastipur, Bihar 
1225682000289226752	"RT @desimojito: My prediction 
BJP : 39-42
AAP : 27-30
Cong : 0-2 

#DelhiElections2020 🥰"	en	
1225681979267354624	Don't watch tv please, how it's going I think, Kal tak @BJP4India and @republic will manage to find @ArvindKejriwal… https://t.co/IhPFYlrjBJ	en	
1225681963354181633	"ts time to make your voice heard

CAST YOUR VOTE...❗️❗️

#Elections2020  #DelhiElections2020 https://t.co/zma03iccNx"	en	New Delhi, India
1225681943427084289	A great information to be known by every #TrueIndian and especially Delhi people now. #DelhiAssemblyElections… https://t.co/67Zgr5r2Mo	en	
1225681939488624641	"RT @lndianExpress: How many seats will BJP win in Delhi Elections ??

#DelhiElections2020 #DelhiElections #exitpoll #DelhiWithBJP #Kejriwal…"	en	Kailash
