Id	Tweets	Lang	Location
1225684382830055424	"I note your ""longstanding interest in inequalities in health and in Gender and Health"" which has led to you ""moving… https://t.co/lwTTKuOgsK"	en	England
1225684381819269120	"Thanks @UserExperienceU &gt;
Closing the Gender Gap Is Good for Business https://t.co/XR4GCczMWd #gender #HR https://t.co/cVI7w93kTl"	en	#Cheltenham, #UK
1225684376614162433	"RT @Womans_Place_UK: ""The women’s movement needs the space to talk about sex and gender, without fear of being ‘no platformed’. "" Well said…"	en	
1225684373812305920	"@justvoot Very gud gender equality in our society. Stay strong Sana #ShehnazKeAsliFans 
#BB13OnVoot #AsliFans"	en	
1225684370259771392	RT @confusedophan: bi/pan people calling their partners “partner” regardless of their gender or whether their relationship is perceived as…	en	Singapore
1225684358792564736	@sarahpurplee @ciecyork Exactly? #sotsog is such a great book, there are the giants of science but the contemporari… https://t.co/482BNs7gmT	en	London 
1225684355126677505	@bolshiebumpkin The whole point of BreadTube is that it's nonsense. It just exists to make outdated 2014 liberalism… https://t.co/mSIyOOiska	en	UK
1225684348222894080	RT @confusedophan: bi/pan people calling their partners “partner” regardless of their gender or whether their relationship is perceived as…	en	Astral Projecting to the Moon
1225684343391023105	"RT @justanoutlawfic: Curious Archer

Name: Celeste

Gender: Female

General Appearance: Blonde hair, blueish green eyes. Tends to dress mor…"	en	Looking for Gwen’s Eyebrows
1225684326118879232	"RT @figandoliveblog: I find the “women need to support women” rhetoric so odd, and often only a way to silence dissenting views.

If I don’…"	en	Oslo, Norway
1225684325447827469	"RT @streddiewarrior: If you're bi with a heavy lean towards the same gender you're not gay, you're still bi.
If you're bi with a heavy lean…"	en	the abis of our old friendship
1225684296314187777	My gender is like when you don't know what you want at a restaurant so when the waiter comes you just say you'll go… https://t.co/pJhVz4dK2h	en	Norman, OK
1225680672758497280	@RealKrutika Pahle apni Flushme ko sambhal chh@kke fir dusro ki life me dakhal de dalla kahi ka 3rd gender https://t.co/2xR1sHSW33	hi	
1225678112811188224	RT @Sihkka: @dunyamaumoon @dhiyanasaid Gender echcheh jesseytho dhiyana try kuravvan ee. 7 feb 12 hendhunu hendhunaa SC vadai gathee @Moham…	hi	
1225665827166310400	RT @nxmbx_: Mujy tou phle he iski gender py shak tha	hi	
1225665731955552256	RT @nxmbx_: Mujy tou phle he iski gender py shak tha	hi	Regrets
1225665692592009216	@dunyamaumoon @dhiyanasaid Gender echcheh jesseytho dhiyana try kuravvan ee. 7 feb 12 hendhunu hendhunaa SC vadai g… https://t.co/03Cb2KO2Cc	hi	Kuala Lumpur, Wilayah Persekut
1225657496041185281	नैनीताल | लिंग परीक्षण पर डीएम सख्त, इन अल्ट्रासाउण्ड सेंटर को सीज करने के निर्देश https://t.co/QUF2HMDmkd via @uttarakhandpost	hi	Uttarakhand
1225646087395872768	RT @Madhuripanday3: Humare desh ki society ek bahot purani viral rog se sadiyo se grast hai.aur sadhiyo  se ye rog badhta ja raha hai itna…	hi	
